"ADRNo","SARType","IncidentDate","Received","IncidentType","Serious","SARDay","SARMonth","SARYear","ReportType","PrimarySourceCountry","OccurCountry"
"0515/19","Animal","3/6/2013","1/21/2019","Safety Issue","N","06","03","2013","Spontaneous and expedited","GB","GB"
"0516/19","Animal","1/21/2019","1/21/2019","Safety issue","Y","21","01","2019","Spontaneous and expedited","GB","GB"
"0517/19","Animal","12/12/2018","1/21/2019","Safety Issue","N","12","12","2018","Spontaneous and expedited","GB","GB"
"0518/19","Animal","1/9/2019","1/21/2019","Safety Issue","N","09","01","2019","Spontaneous and expedited","GB","GB"
"0519/19","Animal","1/21/2019","1/21/2019","Safety issue","N","21","01","2019","Spontaneous and expedited","GB","GB"
"0520/19","Animal","1/18/2019","1/21/2019","Safety issue","Y","18","01","2019","Spontaneous and expedited","GB","GB"
"0521/19","Animal","1/1/2019","1/21/2019","Safety Issue","Y","01","01","2019","Spontaneous and expedited","GB","GB"
"0522/19","Animal","8/1/2018","1/22/2019","Safety Issue","Y","","08","2018","Spontaneous and expedited","GB","GB"
"0523/19","Animal","3/14/2013","1/22/2019","Safety Issue","N","14","03","2013","Spontaneous and expedited","GB","GB"
"0524/19","Animal","2/25/2013","1/22/2019","Safety Issue","N","25","02","2013","Spontaneous and expedited","GB","GB"
"0525/19","Animal","9/21/2013","1/22/2019","Lack of expected efficacy","N","21","09","2013","Spontaneous and expedited","GB","GB"
"0526/19","Animal","1/1/2013","1/22/2019","Safety Issue","N","","","2013","Spontaneous and expedited","GB","GB"
"0527/19","Animal","1/9/2014","1/22/2019","Safety Issue","Y","09","01","2014","Spontaneous and expedited","GB","GB"
"0528/19","Animal","1/21/2019","1/22/2019","Safety issue","N","21","01","2019","Spontaneous and expedited","GB","GB"
"0529/19","Animal","11/12/2018","1/22/2019","Safety Issue","Y","12","11","2018","Spontaneous and expedited","GB","GB"
"0530/19","Animal","11/29/2018","1/22/2019","Safety Issue","Y","29","11","2018","Spontaneous and expedited","GB","GB"
"0531/19","Animal","1/22/2019","1/22/2019","Safety issue","N","22","01","2019","Spontaneous and expedited","GB","GB"
"0532/19","Animal","10/1/2012","1/22/2019","Safety Issue","N","","10","2012","Spontaneous and expedited","GB","GB"
"0533/19","Animal","1/15/2019","1/22/2019","Safety issue","N","15","01","2019","Spontaneous and expedited","GB","GB"
"0534/19","Animal","1/10/2019","1/22/2019","Safety issue","N","15","01","2019","Spontaneous and expedited","GB","GB"
"0535/19","Animal","1/15/2019","1/22/2019","Safety issue","N","15","01","2019","Spontaneous and expedited","GB","GB"
"0536/19","Animal","3/25/2013","1/22/2019","Safety Issue","Y","25","03","2013","Spontaneous and expedited","GB","GB"
"0537/19","Animal","6/1/2010","1/22/2019","Safety Issue","Y","","06","2010","Spontaneous and expedited","GB","GB"
"0538/19","Animal","1/14/2019","1/17/2019","Safety Issue","Y","14","01","2019","Spontaneous and expedited","GB","GB"
