ADRNo;AnimalClass;AnimalSpecies;AnimalRole;ProductionType;AnimalSex;FemaleStatus;AnimalBreed;AnimalAge;AgeUnit;AgeType;MinimumAge;MaximumAge;AnimalWeight;WeightType;MinimumWeight;MaximumWeight;ParentOfCrossbreed;ClassCode;SpeciesCode;BreedCode
9911/19;Canidae;Canine/dog;Companion;;Male;;;4.0;Month;Exact;;;17;Exact;;;;;CanDo;
9912/19;Bovinae;Bovine/cattle;Production;;Unknown;Non-pregnant - Non-lactating;;6.0;Month;Exact;;;;Exact;200.0;300.0;;;BovCa;
9913/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;1.0;Year;Exact;;;5;Exact;;;;;FelCa;
9914/19;Felidae;Feline/cat;Companion;;Male-Neutered;;Domestic Shorthair;5.52;Year;;;;4.29;;;;;Fel;FelCa;FelCaxxx
9915/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;8.0;Year;Exact;;;16;Approximate;;;;;CanDo;
9916/19;Canidae;Canine/dog;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;CanDo;
9917/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;15.5;Year;Unknown;;;3.6;Exact;;;;;FelCa;
9918/19;Aves;Chicken;Production;Layer;Female;Unknown;;14.0;Week;Exact;;;;Unknown;;;;;AveCh;
9919/19;Felidae;Feline/cat;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;FelCa;
9920/19;Canidae;Canine/dog;Companion;;Male;;Bulldog - French ;1.25;Year;;;;11.80;;;;;Can;CanDo;CanDo031
9921/19;Canidae;Canine/dog;Companion;;Female;;;1.8;Year;;;;;;;;;;CanDo;
9922/19;Felidae;Feline/cat;Companion;;Unknown;;Domestic Shorthair;;;;;;;;;;;Fel;FelCa;FelCaxxx
9923/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;10.0;Year;Exact;;;4.5;Exact;;;;;FelCa;
9924/19;Bovinae;Bovine/cattle;Production;;Mixed;;;;Month;Approximate;6;8;;Approximate;280;350;;;BovCa;
9925/19;Bovinae;Bovine/cattle;Production;Broiler;Female;Mixed;;21.0;Month;Approximate;;;;Unknown;;;;;BovCa;
9926/19;Canidae;Canine/dog;Companion;;Female-Neutered;;;10.0;Year;Exact;;;6.02;Exact;;;;;CanDo;
9927/19;Bovinae;Bovine/cattle;Production;;Unknown;;;18.0;Month;Approximate;;;;Unknown;;;;;BovCa;
9928/19;Canidae;Canine/dog;Companion;;Male;;;11.0;Month;Exact;;;6.8;Exact;;;;;CanDo;
9929/19;Caprinae;Ovine/sheep;Production;;Mixed;;;8.0;Month;Approximate;;;45;Approximate;;;;;CapSh;
9930/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;9.0;Year;Exact;;;35;Exact;;;;;CanDo;
9931/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;3.5;Year;Exact;;;24.1;Exact;;;;;CanDo;
9932/19;Canidae;Canine/dog;Companion;;Male;;;9.5;Week;Exact;;;2.7;Exact;;;;;CanDo;
9933/19;Bovinae;Bovine/cattle;Production;;Mixed;;;3.0;Month;Approximate;;;;Unknown;;;;;BovCa;
9934/19;Canidae;Canine/dog;Companion;;Female;Unknown;;12.0;Week;Approximate;;;7.15;Exact;;;;;CanDo;
9935/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;1.5;Year;Approximate;;;9.3;Exact;;;;;CanDo;
9936/19;Felidae;Feline/cat;Companion;;Unknown;;;;;Unknown;;;;Unknown;;;;;FelCa;
9937/19;Bovinae;Bovine/cattle;Production;;Mixed;;;3.0;Month;Approximate;;;;Unknown;;;;;BovCa;
9938/19;Bovinae;Bovine/cattle;Production;;Unknown;;;;;Unknown;;;500;Approximate;;;;;BovCa;
9939/19;Canidae;Canine/dog;Companion;;Male-Neutered;;Shih Tzu;1;Year;;;;8.4;;;;;Can;CanDo;CanDo206
9940/19;Felidae;Feline/cat;Companion;;Male;;Domestic Shorthair;5;Month;;;;2;;;;;Fel;FelCa;FelCaxxx
9941/19;Bovinae;Bovine/cattle;Production;;Unknown;;;8.0;Month;Exact;;;;Unknown;;;;;BovCa;
9942/19;Canidae;Canine/dog;Companion;;Female;Unknown;Chihuahua;1.3;Year;Exact;;;3.2;Exact;;;;Can;CanDo;CanDo060
9943/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;2.4;Year;Exact;;;;Unknown;;;;;EquHo;
9944/19;Canidae;Canine/dog;Companion;;Female;Pregnant - Non-lactating;;3.0;Year;Exact;;;;Unknown;;;;;CanDo;
9945/19;Felidae;Feline/cat;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;FelCa;
9946/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;20.0;Year;Exact;;;251;Exact;;;;;EquHo;
9947/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;4.0;Year;Exact;;;12.9;Exact;;;;;CanDo;
9948/19;Felidae;Feline/cat;Companion;;Female;;Domestic Shorthair;4;Month;;;;1.50;;;;;Fel;FelCa;FelCaxxx
9949/19;Felidae;Feline/cat;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;FelCa;
9950/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;20.0;Year;Exact;;;325.0;Exact;;;;;EquHo;
9951/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;23.0;Year;Exact;;;625.0;Exact;;;;;EquHo;
